date,tensorflow,pytorch,keras
2017-04-18,49006,3928,13281
2017-04-19,49101,3964,13326
2017-04-20,49207,3985,13373
2017-04-21,49307,3997,13404
2017-04-22,49367,4015,13425
2017-04-23,49440,4025,13440
2017-04-24,49542,4043,13474
2017-04-25,49640,4060,13510
2017-04-26,49742,4081,13545
2017-04-27,49850,4094,13573
2017-04-28,49956,4112,13607
2017-04-29,50003,4120,13623
2017-04-30,50054,4130,13651
2017-05-01,50124,4154,13666
2017-05-02,50195,4191,13693
2017-05-03,50283,4242,13714
2017-05-04,50372,4277,13757
2017-05-05,50449,4300,13788
2017-05-06,50497,4319,13809
2017-05-07,50567,4334,13825
2017-05-08,50650,4358,13858
2017-05-09,50755,4384,13882
2017-05-10,50859,4399,13907
2017-05-11,50943,4424,13931
2017-05-12,51029,4439,13976
2017-05-13,51072,4454,13998
2017-05-14,51127,4462,14020
2017-05-15,51219,4474,14053
2017-05-16,51321,4490,14099
2017-05-17,51492,4507,14137
2017-05-18,51738,4523,14187
2017-05-19,51912,4537,14214
2017-05-20,52007,4553,14238
2017-05-21,52099,4568,14253
2017-05-22,52241,4574,14283
2017-05-23,52382,4590,14318
2017-05-24,52504,4601,14353
2017-05-25,52628,4610,14387
2017-05-26,52748,4619,14417
2017-05-27,52860,4634,14436
2017-05-28,52919,4646,14454
2017-05-29,53001,4654,14471
2017-05-30,53101,4676,14493
2017-05-31,53210,4689,14521
2017-06-01,53330,4710,14561
2017-06-02,53448,4723,14594
2017-06-03,53538,4736,14605
2017-06-04,53613,4745,14620
2017-06-05,53721,4762,14656
2017-06-06,53828,4779,14705
2017-06-07,53964,4803,14741
2017-06-08,54076,4826,14796
2017-06-09,54167,4839,14832
2017-06-10,54234,4850,14856
2017-06-11,54293,4856,14878
2017-06-12,54370,4866,14926
2017-06-13,54469,4877,14953
2017-06-14,54588,4894,14991
2017-06-15,54700,4903,15023
2017-06-16,54822,4914,15053
2017-06-17,54901,4924,15072
2017-06-18,54996,4932,15096
2017-06-19,55106,4938,15120
2017-06-20,55231,4950,15145
2017-06-21,55329,4963,15180
2017-06-22,55422,4969,15211
2017-06-23,55499,4979,15247
2017-06-24,55551,4988,15264
2017-06-25,55610,4992,15291
2017-06-26,55686,5009,15331
2017-06-27,55779,5022,15373
2017-06-28,55901,5040,15416
2017-06-29,56003,5053,15444
2017-06-30,56095,5067,15477
2017-07-01,56146,5070,15493
2017-07-02,56215,5083,15511
2017-07-03,56298,5100,15556
2017-07-04,56385,5115,15596
2017-07-05,56478,5135,15640
2017-07-06,56587,5147,15674
2017-07-07,56690,5161,15699
2017-07-08,56751,5171,15732
2017-07-09,56812,5175,15751
2017-07-10,56912,5181,15773
2017-07-11,57013,5201,15806
2017-07-12,57114,5213,15848
2017-07-13,57237,5228,15883
2017-07-14,57363,5240,15919
2017-07-15,57413,5248,15941
2017-07-16,57479,5257,15968
2017-07-17,57588,5267,16005
2017-07-18,57694,5278,16059
2017-07-19,57803,5290,16100
2017-07-20,57913,5306,16127
2017-07-21,58013,5319,16164
2017-07-22,58059,5326,16182
2017-07-23,58135,5337,16200
2017-07-24,58243,5344,16246
2017-07-25,58343,5358,16274
2017-07-26,58453,5376,16318
2017-07-27,58573,5389,16356
2017-07-28,58659,5406,16383
2017-07-29,58728,5416,16404
2017-07-30,58794,5429,16424
2017-07-31,58910,5442,16459
2017-08-01,59035,5457,16494
2017-08-02,59171,5466,16527
2017-08-03,59294,5484,16557
2017-08-04,59380,5503,16582
2017-08-05,59452,5508,16607
2017-08-06,59547,5566,16637
2017-08-07,59667,5770,16664
2017-08-08,59787,5860,16698
2017-08-09,59901,5890,16729
2017-08-10,60007,5906,16763
2017-08-11,60099,5939,16797
2017-08-12,60167,5955,16809
2017-08-13,60220,5963,16829
2017-08-14,60312,5988,16862
2017-08-15,60418,6008,16888
2017-08-16,60519,6028,16919
2017-08-17,60630,6050,16946
2017-08-18,60723,6076,16981
2017-08-19,60769,6091,17001
2017-08-20,60836,6104,17014
2017-08-21,60933,6124,17039
2017-08-22,61029,6143,17064
2017-08-23,61130,6162,17104
2017-08-24,61214,6176,17138
2017-08-25,61289,6198,17182
2017-08-26,61339,6212,17207
2017-08-27,61400,6222,17219
2017-08-28,61506,6231,17248
2017-08-29,61608,6246,17281
2017-08-30,61700,6256,17311
2017-08-31,61841,6272,17332
2017-09-01,61930,6289,17355
